agea,vote
16,0.034482758620689655
17,0.07142857142857142
21,0.20833333333333334
22,0.3333333333333333
23,0.32
24,0.55
25,0.45652173913043476
26,0.4857142857142857
27,0.47058823529411764
28,0.36363636363636365
29,0.5
30,0.5
31,0.30952380952380953
32,0.3958333333333333
33,0.4222222222222222
34,0.32
35,0.6341463414634146
36,0.42105263157894735
37,0.43243243243243246
38,0.5277777777777778
39,0.6071428571428571
40,0.6666666666666666
41,0.625
42,0.5476190476190477
43,0.6086956521739131
44,0.484375
45,0.5853658536585366
46,0.6052631578947368
47,0.6774193548387096
48,0.5
49,0.6666666666666666
50,0.6176470588235294
51,0.5454545454545454
52,0.7142857142857143
53,0.55
54,0.5769230769230769
55,0.7058823529411765
56,0.6585365853658537
57,0.5833333333333334
58,0.5882352941176471
59,0.43478260869565216
60,0.6538461538461539
61,0.6140350877192983
62,0.6296296296296297
63,0.696969696969697
64,0.6744186046511628
65,0.6825396825396826
66,0.78
67,0.6
68,0.7755102040816326
69,0.7619047619047619
70,0.75
71,0.6923076923076923
72,0.7142857142857143
73,0.7857142857142857
74,0.7333333333333333
75,0.7058823529411765
76,0.42857142857142855
77,0.6
78,0.5714285714285714
79,0.8
80,0.75
81,0.6
82,1
83,0.5
85,1
86,1
89,0.5
90,0.5
